Rk,Player,G,RushingAtt,RushingYds,RushingAvg,RushingTD,ReceivingRec,ReceivingYds,ReceivingAvg,ReceivingTD,ScrimmagePlays,ScrimmageYds,ScrimmageAvg,ScrimmageTD,Season
1,Jimmy Crowley,10.0,133.0,742.0,5.6,6.0,11.0,274.0,24.9,2.0,144,1016,7.1,8,1924
2,Don Miller,9.0,125.0,794.0,6.4,5.0,19.0,346.0,18.2,2.0,144,1140,7.9,7,1924
3,Elmer Layden,9.0,120.0,445.0,3.7,6.0,,,,,120,445,3.7,6,1924
4,Bernie Livergood,10.0,53.0,229.0,4.3,2.0,1.0,22.0,22.0,1.0,54,251,4.6,3,1924
5,Doc Connell,10.0,46.0,268.0,5.8,1.0,4.0,65.0,16.3,0.0,50,333,6.7,1,1924
6,Bill Cerney,10.0,40.0,118.0,3.0,3.0,,,,,40,118,3.0,3,1924
7,Harry O'Boyle,10.0,20.0,203.0,10.2,2.0,,,,,20,203,10.2,2,1924
8,Harry Stuhldreher,9.0,20.0,19.0,1.0,2.0,6.0,42.0,7.0,0.0,26,61,2.3,2,1924
9,John Roach,10.0,10.0,67.0,6.7,2.0,1.0,3.0,3.0,1.0,11,70,6.4,3,1924
10,Eddie Scharer,10.0,10.0,-1.0,-0.1,0.0,,,,,10,-1,-0.1,0,1924
11,Tom Hearden,10.0,8.0,29.0,3.6,0.0,,,,,8,29,3.6,0,1924
12,Max Houser,10.0,7.0,35.0,5.0,0.0,1.0,8.0,8.0,0.0,8,43,5.4,0,1924
13,Red Edwards,10.0,6.0,-1.0,-0.2,0.0,,,,,6,-1,-0.2,0,1924
14,Frank Reese,10.0,3.0,3.0,1.0,0.0,,,,,3,3,1.0,0,1924
15,Gerry Miller,10.0,2.0,4.0,2.0,0.0,1.0,18.0,18.0,0.0,3,22,7.3,0,1924
16,Joe Prelli,10.0,1.0,3.0,3.0,0.0,,,,,1,3,3.0,0,1924
17,Bernie Coughlin,10.0,1.0,3.0,3.0,0.0,,,,,1,3,3.0,0,1924
18,Wilbur Eaton,10.0,,,,,1.0,30.0,30.0,0.0,1,30,30.0,0,1924
19,Chuck Collins,10.0,,,,,1.0,20.0,20.0,0.0,1,20,20.0,0,1924
20,Clem Crowe,10.0,,,,,1.0,15.0,15.0,0.0,1,15,15.0,0,1924
1,Marchy Schwartz,10.0,123.0,928.0,7.5,9.0,1.0,4.0,4.0,0.0,124,932,7.5,9,1930
2,Marty Brill,10.0,84.0,449.0,5.3,6.0,2.0,27.0,13.5,0.0,86,476,5.5,6,1930
3,Joe Savoldi,6.0,67.0,440.0,6.6,6.0,,,,,67,440,6.6,6,1930
4,Larry Mullins,8.0,51.0,230.0,4.5,3.0,,,,,51,230,4.5,3,1930
5,Bucky O'Connor,9.0,46.0,294.0,6.4,3.0,,,,,46,294,6.4,3,1930
6,Mike Koken,6.0,42.0,106.0,2.5,2.0,,,,,42,106,2.5,2,1930
7,Dan Hanley,4.0,24.0,167.0,7.0,2.0,1.0,12.0,12.0,0.0,25,179,7.2,2,1930
8,Bernie Leahy,4.0,16.0,43.0,2.7,0.0,,,,,16,43,2.7,0,1930
9,Clarence Kaplan,5.0,13.0,113.0,8.7,0.0,,,,,13,113,8.7,0,1930
10,Frank Carideo,10.0,13.0,45.0,3.5,1.0,4.0,63.0,15.8,1.0,17,108,6.4,2,1930
11,Fred Staab,3.0,12.0,43.0,3.6,1.0,,,,,12,43,3.6,1,1930
12,Joe Sheeketski,1.0,9.0,37.0,4.1,0.0,,,,,9,37,4.1,0,1930
13,Nick Lukats,2.0,8.0,24.0,3.0,1.0,,,,,8,24,3.0,1,1930
14,Al Howard,3.0,6.0,8.0,1.3,0.0,,,,,6,8,1.3,0,1930
15,Ed Kosky,10.0,5.0,64.0,12.8,0.0,4.0,79.0,19.8,1.0,9,143,15.9,1,1930
16,Johnny O'Brien,10.0,3.0,29.0,9.7,0.0,2.0,19.0,9.5,0.0,5,48,9.6,0,1930
17,Carl Cronin,4.0,3.0,24.0,8.0,0.0,,,,,3,24,8.0,0,1930
18,Paul Host,10.0,2.0,-2.0,-1.0,0.0,1.0,13.0,13.0,0.0,3,11,3.7,0,1930
19,Ray Bailie,10.0,1.0,5.0,5.0,0.0,,,,,1,5,5.0,0,1930
20,Tom Conley,10.0,,,,,3.0,116.0,38.7,1.0,3,116,38.7,1,1930
21,Chuck Jaskwhich,6.0,,,,,1.0,2.0,2.0,0.0,1,2,2.0,0,1930
1,Fred Evans,9.0,141.0,480.0,3.4,,9.0,132.0,14.7,,150,612,4.1,0,1941
2,Steve Juzwik,9.0,101.0,376.0,3.7,,17.0,305.0,17.9,,118,681,5.8,0,1941
3,Creighton Miller,9.0,59.0,183.0,3.1,,,,,,59,183,3.1,0,1941
4,Angelo Bertelli,9.0,41.0,56.0,1.4,,,,,,41,56,1.4,0,1941
5,Bill Earley,9.0,30.0,51.0,1.7,,5.0,106.0,21.2,,35,157,4.5,0,1941
6,John Warner,9.0,24.0,86.0,3.6,,,,,,24,86,3.6,0,1941
7,Don Hogan,9.0,10.0,15.0,1.5,,,,,,10,15,1.5,0,1941
8,Edward McNeill,9.0,6.0,15.0,2.5,,,,,,6,15,2.5,0,1941
9,Richard Creevey,9.0,3.0,19.0,6.3,,,,,,3,19,6.3,0,1941
10,Tom Miller,9.0,1.0,1.0,1.0,,2.0,68.0,34.0,,3,69,23.0,0,1941
11,Robert Dove,9.0,,,,,15.0,187.0,12.5,,15,187,12.5,0,1941
