G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Location,Opponent,Standardized_Opponent,Conf,Result,Pts,Opp,W,L,T,Streak,Notes
1,1899,1899-09-27,"Sep 27, 1899",Wed,,Notre Dame,Notre Dame,Home,Englewood High,Englewood High,Non-Major,W,29,5,1,0,0.0,W 1,
2,1899,1899-09-30,"Sep 30, 1899",Sat,,Notre Dame,Notre Dame,Home,Michigan State,Michigan State,Non-Major,W,40,0,2,0,0.0,W 2,
3,1899,1899-10-04,"Oct 4, 1899",Wed,,Notre Dame,Notre Dame,Away,Chicago,Chicago,Western,L,6,23,2,1,0.0,L 1,
4,1899,1899-10-14,"Oct 14, 1899",Sat,,Notre Dame,Notre Dame,Home,Lake Forest,Lake Forest,Ind,W,38,0,3,1,0.0,W 1,
5,1899,1899-10-18,"Oct 18, 1899",Wed,,Notre Dame,Notre Dame,Away,Michigan,Michigan,Western,L,0,12,3,2,0.0,L 1,
6,1899,1899-10-23,"Oct 23, 1899",Mon,,Notre Dame,Notre Dame,Home,Indiana,Indiana,Ind,W,17,0,4,2,0.0,W 1,
7,1899,1899-10-28,"Oct 28, 1899",Sat,,Notre Dame,Notre Dame,Home,Northwestern,Northwestern,Western,W,12,0,5,2,0.0,W 2,
8,1899,1899-11-04,"Nov 4, 1899",Sat,,Notre Dame,Notre Dame,Home,Rush Medical,Rush Medical,Non-Major,W,17,0,6,2,0.0,W 3,
9,1899,1899-11-18,"Nov 18, 1899",Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,Western,T,10,10,6,2,1.0,T 1,
10,1899,1899-11-30,"Nov 30, 1899",Thu,,Notre Dame,Notre Dame,Home,Physicians & Surgeons,Physicians & Surgeons,Non-Major,L,0,5,6,3,1.0,L 1,
1,1915,1915-10-02,"Oct 2, 1915",Sat,,Notre Dame,Notre Dame,Home,Alma,Alma,Non-Major,W,32,0,1,0,0.0,W 1,
2,1915,1915-10-09,"Oct 9, 1915",Sat,,Notre Dame,Notre Dame,Home,Haskell,Haskell,Ind,W,34,0,2,0,0.0,W 2,
3,1915,1915-10-23,"Oct 23, 1915",Sat,,Notre Dame,Notre Dame,Away,Nebraska,Nebraska,MVIAA,L,19,20,2,1,0.0,L 1,
4,1915,1915-10-30,"Oct 30, 1915",Sat,,Notre Dame,Notre Dame,Home,South Dakota,South Dakota,Non-Major,W,6,0,3,1,0.0,W 1,
5,1915,1915-11-06,"Nov 6, 1915",Sat,,Notre Dame,Notre Dame,Away,Army,Army,Ind,W,7,0,4,1,0.0,W 2,
6,1915,1915-11-13,"Nov 13, 1915",Sat,,Notre Dame,Notre Dame,Away,Creighton,Creighton,Non-Major,W,41,0,5,1,0.0,W 3,
7,1915,1915-11-25,"Nov 25, 1915",Thu,,Notre Dame,Notre Dame,Away,Texas,Texas,SWC,W,36,7,6,1,0.0,W 4,
8,1915,1915-11-27,"Nov 27, 1915",Sat,,Notre Dame,Notre Dame,Away,Rice,Rice,SWC,W,55,2,7,1,0.0,W 5,
1,1919,1919-10-04,"Oct 4, 1919",Sat,,Notre Dame,Notre Dame,Home,Kalamazoo,Kalamazoo,Non-Major,W,14,0,1,0,0.0,W 1,
2,1919,1919-10-11,"Oct 11, 1919",Sat,,Notre Dame,Notre Dame,Home,Mount Union,Mount Union,Non-Major,W,60,7,2,0,0.0,W 2,
3,1919,1919-10-18,"Oct 18, 1919",Sat,,Notre Dame,Notre Dame,Away,Nebraska,Nebraska,Ind,W,14,9,3,0,0.0,W 3,
4,1919,1919-10-25,"Oct 25, 1919",Sat,,Notre Dame,Notre Dame,Home,Western Michigan,Western Michigan,Non-Major,W,53,0,4,0,0.0,W 4,
5,1919,1919-11-01,"Nov 1, 1919",Sat,,Notre Dame,Notre Dame,Neutral,Indiana,Indiana,Western,W,16,3,5,0,0.0,W 5,"Indianapolis, IN"
6,1919,1919-11-08,"Nov 8, 1919",Sat,,Notre Dame,Notre Dame,Away,Army,Army,Ind,W,12,9,6,0,0.0,W 6,
7,1919,1919-11-15,"Nov 15, 1919",Sat,,Notre Dame,Notre Dame,Home,Michigan State,Michigan State,Non-Major,W,13,0,7,0,0.0,W 7,
8,1919,1919-11-22,"Nov 22, 1919",Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,Western,W,33,13,8,0,0.0,W 8,
9,1919,1919-11-27,"Nov 27, 1919",Thu,,Notre Dame,Notre Dame,Away,Morningside,Morningside,Non-Major,W,14,6,9,0,0.0,W 9,
1,1936,1936-10-03,"Oct 3, 1936",Sat,,Notre Dame,Notre Dame,Home,Carnegie Mellon,Carnegie Mellon,Ind,W,21,7,1,0,0.0,W 1,
2,1936,1936-10-10,"Oct 10, 1936",Sat,,Notre Dame,Notre Dame,Home,Washington (MO),Washington MO,MVC,W,14,6,2,0,0.0,W 2,
3,1936,1936-10-17,"Oct 17, 1936",Sat,,Notre Dame,Notre Dame,Home,Wisconsin,Wisconsin,Western,W,27,0,3,0,0.0,W 3,
4,1936,1936-10-24,"Oct 24, 1936",Sat,,(7) Notre Dame, Notre Dame,Away,(9) Pitt, Pitt,Ind,L,0,26,3,1,0.0,L 1,
5,1936,1936-10-31,"Oct 31, 1936",Sat,,Notre Dame,Notre Dame,Home,Ohio State,Ohio State,Western,W,7,2,4,1,0.0,W 1,
6,1936,1936-11-07,"Nov 7, 1936",Sat,,(13) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,L,0,3,4,2,0.0,L 1,"Baltimore, MD"
7,1936,1936-11-14,"Nov 14, 1936",Sat,,Notre Dame,Notre Dame,Away,Army,Army,Ind,W,20,6,5,2,0.0,W 1,"Bronx, NY"
8,1936,1936-11-21,"Nov 21, 1936",Sat,,(11) Notre Dame, Notre Dame,Home,(1) Northwestern, Northwestern,Western,W,26,6,6,2,0.0,W 2,
9,1936,1936-12-05,"Dec 5, 1936",Sat,,(9) Notre Dame, Notre Dame,Away,USC,USC,PCC,T,13,13,6,2,1.0,T 1,
1,1937,1937-10-02,"Oct 2, 1937",Sat,,Notre Dame,Notre Dame,Home,Drake,Drake,MVC,W,21,0,1,0,0.0,W 1,
2,1937,1937-10-09,"Oct 9, 1937",Sat,,Notre Dame,Notre Dame,Away,Illinois,Illinois,Western,T,0,0,1,0,1.0,T 1,
3,1937,1937-10-16,"Oct 16, 1937",Sat,,Notre Dame,Notre Dame,Away,Carnegie Mellon,Carnegie Mellon,Ind,L,7,9,1,1,1.0,L 1,
4,1937,1937-10-23,"Oct 23, 1937",Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,9,7,2,1,1.0,W 1,
5,1937,1937-10-30,"Oct 30, 1937",Sat,,Notre Dame,Notre Dame,Away,(4) Minnesota, Minnesota,Western,W,7,6,3,1,1.0,W 2,
