source,target
Knute Rockne,Chuck Riley
Knute Rockne,Gus Dorais
Knute Rockne,Gus Dorais
Knute Rockne,Stan Cofall
Knute Rockne,Charlie Bachman
Knute Rockne,Charlie Bachman
Knute Rockne,Charlie Bachman
Knute Rockne,Dutch Bergman
Knute Rockne,Dutch Bergman
Knute Rockne,Slip Madigan
Knute Rockne,Slip Madigan
Knute Rockne,"Maurice J. ""Clipper"" Smith"
Knute Rockne,"Maurice J. ""Clipper"" Smith"
Knute Rockne,Hunk Anderson
Knute Rockne,Hunk Anderson
Knute Rockne,Buck Shaw
Knute Rockne,Earl Walsh
Knute Rockne,Eddie Anderson
Knute Rockne,Buck Shaw
Knute Rockne,Buck Shaw
Knute Rockne,Chet A. Wynne
Knute Rockne,Chet A. Wynne
Knute Rockne,Chet A. Wynne
Knute Rockne,Harry Mehre
Knute Rockne,Buck Shaw
Knute Rockne,Harry Mehre
Knute Rockne,Tom Lieb
Knute Rockne,Tom Lieb
Knute Rockne,Frank Thomas
Knute Rockne,Edgar Miller
Knute Rockne,Don Miller
Knute Rockne,Don Miller
Knute Rockne,Adam Walsh
Knute Rockne,Jim Crowley
Knute Rockne,Noble Kizer
Knute Rockne,Elmer Layden
Knute Rockne,Elmer Layden
Knute Rockne,Chuck Collins
Knute Rockne,Jim Crowley
Knute Rockne,Harry Stuhldreher
Knute Rockne,Harry Stuhldreher
Knute Rockne,Adam Walsh
Knute Rockne,Joe Bach
Knute Rockne,John Weibel
Knute Rockne,John Weibel
Knute Rockne,Joe Bach
Knute Rockne,Rex Enright
Knute Rockne,Larry Mullins
Knute Rockne,Larry Mullins
Knute Rockne,Larry Mullins
Knute Rockne,Frank Leahy
Knute Rockne,Frank Carideo
Knute Rockne,Frank Leahy
Knute Rockne,Marchmont Schwartz
Knute Rockne,Marchmont Schwartz
