Rk,Season,Player,First_Name,Last_Name,G,RushingAtt,RushingYds,RushingAvg,RushingTD,ReceivingRec,ReceivingYds,ReceivingAvg,ReceivingTD,ScrimmagePlays,ScrimmageYds,ScrimmageAvg,ScrimmageTD
1,1924,Jimmy Crowley,Jimmy,Crowley,10.0,133.0,742.0,5.6,6.0,11.0,274.0,24.9,2.0,144,1016,7.1,8
2,1924,Don Miller,Don,Miller,9.0,125.0,794.0,6.4,5.0,19.0,346.0,18.2,2.0,144,1140,7.9,7
3,1924,Elmer Layden,Elmer,Layden,9.0,120.0,445.0,3.7,6.0,,,,,120,445,3.7,6
4,1924,Bernie Livergood,Bernie,Livergood,10.0,53.0,229.0,4.3,2.0,1.0,22.0,22.0,1.0,54,251,4.6,3
5,1924,Doc Connell,Doc,Connell,10.0,46.0,268.0,5.8,1.0,4.0,65.0,16.3,0.0,50,333,6.7,1
6,1924,Bill Cerney,Bill,Cerney,10.0,40.0,118.0,3.0,3.0,,,,,40,118,3.0,3
7,1924,Harry O'Boyle,Harry,O'Boyle,10.0,20.0,203.0,10.2,2.0,,,,,20,203,10.2,2
8,1924,Harry Stuhldreher,Harry,Stuhldreher,9.0,20.0,19.0,1.0,2.0,6.0,42.0,7.0,0.0,26,61,2.3,2
9,1924,John Roach,John,Roach,10.0,10.0,67.0,6.7,2.0,1.0,3.0,3.0,1.0,11,70,6.4,3
10,1924,Eddie Scharer,Eddie,Scharer,10.0,10.0,-1.0,-0.1,0.0,,,,,10,-1,-0.1,0
11,1924,Tom Hearden,Tom,Hearden,10.0,8.0,29.0,3.6,0.0,,,,,8,29,3.6,0
12,1924,Max Houser,Max,Houser,10.0,7.0,35.0,5.0,0.0,1.0,8.0,8.0,0.0,8,43,5.4,0
13,1924,Red Edwards,Red,Edwards,10.0,6.0,-1.0,-0.2,0.0,,,,,6,-1,-0.2,0
14,1924,Frank Reese,Frank,Reese,10.0,3.0,3.0,1.0,0.0,,,,,3,3,1.0,0
15,1924,Gerry Miller,Gerry,Miller,10.0,2.0,4.0,2.0,0.0,1.0,18.0,18.0,0.0,3,22,7.3,0
16,1924,Joe Prelli,Joe,Prelli,10.0,1.0,3.0,3.0,0.0,,,,,1,3,3.0,0
17,1924,Bernie Coughlin,Bernie,Coughlin,10.0,1.0,3.0,3.0,0.0,,,,,1,3,3.0,0
18,1924,Wilbur Eaton,Wilbur,Eaton,10.0,,,,,1.0,30.0,30.0,0.0,1,30,30.0,0
19,1924,Chuck Collins,Chuck,Collins,10.0,,,,,1.0,20.0,20.0,0.0,1,20,20.0,0
20,1924,Clem Crowe,Clem,Crowe,10.0,,,,,1.0,15.0,15.0,0.0,1,15,15.0,0
1,1930,Marchy Schwartz,Marchy,Schwartz,10.0,123.0,928.0,7.5,9.0,1.0,4.0,4.0,0.0,124,932,7.5,9
2,1930,Marty Brill,Marty,Brill,10.0,84.0,449.0,5.3,6.0,2.0,27.0,13.5,0.0,86,476,5.5,6
3,1930,Joe Savoldi,Joe,Savoldi,6.0,67.0,440.0,6.6,6.0,,,,,67,440,6.6,6
4,1930,Larry Mullins,Larry,Mullins,8.0,51.0,230.0,4.5,3.0,,,,,51,230,4.5,3
